Products ID;Active;Name;Categories;Price;Tax rules ID;Reference;Quantity;Minimal quantity;Short description;URL rewritten;Product available date;Product creation date;Show price;Image URLs;Feature
1;1;Szablon 78037;Główna,Szablony Joomla! CMS,Przemysł;201;1;78037;-1;0;"Niniejszy szablon oferuje następujące funkcje: Panel administracyjny, Bootstrap, Wielozadaniowy, premium, Responsywny, Wspiera języki pisane od prawej do lewej, Przystosowany do wyszukiwarek, Członkowie zespołu;";szablon-78037;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/78000/78037-big.png;"Typ szablonu|Szablony Joomla! CMS|1|1,Numer szablonu|78037|2|1,Strona przykładowa|<a href=""https://www.wickley.joomlastars.co.in/""><b>Zobacz</b></a>|3|1,Autor|joomlastars|4|1"
2;1;Szablon 66907;Główna,Szablony Joomla! CMS,Biznes;223;1;66907;-1;0;"Niniejszy szablon oferuje następujące funkcje: Panel administracyjny, Ajax, Bootstrap, Responsywny, Zaawansowane opcje szablonu;";szablon-66907;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/66900/66907-big.jpg;"Typ szablonu|Szablony Joomla! CMS|1|1,Numer szablonu|66907|2|1,Strona przykładowa|<a href=""http://tm-bitcoin.payo-themes.com/""><b>Zobacz</b></a>|3|1,Autor|prothemes|4|1"
3;1;Szablon 61171;Główna,Szablony WordPress CMS,Projektowanie wnętrz i meble;234;1;61171;-1;0;Niniejszy szablon oferuje następujące funkcje: ;szablon-61171;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/61100/61171-big.jpg;"Typ szablonu|Szablony WordPress CMS|1|1,Numer szablonu|61171|2|1,Strona przykładowa|<a href=""https://ld-wp73.template-help.com/wordpress/prod_1830/v1/""><b>Zobacz</b></a>|3|1,Autor|ZEMEZ|4|1"
4;1;Szablon 65846;Główna,Szablony WordPress CMS,Biznes;223;1;65846;-1;0;"Niniejszy szablon oferuje następujące funkcje: Panel administracyjny, Responsywny, Przystosowany dla wysokich rozdzielczości (np. Retina), Przystosowany do wyszukiwarek, Mapa Google, Przykładowa treść, Zaawansowane opcje szablonu, blog, HTML 5, jQuery;";szablon-65846;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/65800/65846-big.jpg;"Typ szablonu|Szablony WordPress CMS|1|1,Numer szablonu|65846|2|1,Strona przykładowa|<a href=""https://ld-wp73.template-help.com/wordpress/prod_11341/v2/""><b>Zobacz</b></a>|3|1,Autor|ZEMEZ|4|1"
5;1;Szablon 102715;Główna,Szablony Joomla! CMS,Projektowanie wnętrz i meble;234;1;102715;-1;0;"Niniejszy szablon oferuje następujące funkcje: Panel administracyjny, Bootstrap, Responsywny, Rozwijane menu, Mapa Google, Przykładowa treść, Pakiet quickstart, Zaawansowane opcje szablonu, blog, gallery, forum, HTML 5;";szablon-102715;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/102700/102715-big.png;"Typ szablonu|Szablony Joomla! CMS|1|1,Numer szablonu|102715|2|1,Strona przykładowa|<a href=""https://livedemo00-joomla.template-help.com/joomla_prod-28466/""><b>Zobacz</b></a>|3|1,Autor|ZEMEZ|4|1"
6;1;Szablon 80117;Główna,Szablony Joomla! CMS,Biznes;201;1;80117;-1;0;"Niniejszy szablon oferuje następujące funkcje: Panel administracyjny, Bootstrap, Wielozadaniowy, premium, Responsywny, Wspiera języki pisane od prawej do lewej, Członkowie zespołu;";szablon-80117;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/80100/80117-big.png;"Typ szablonu|Szablony Joomla! CMS|1|1,Numer szablonu|80117|2|1,Strona przykładowa|<a href=""https://www.topbiz.joomlastars.co.in/""><b>Zobacz</b></a>|3|1,Autor|joomlastars|4|1"
7;1;Szablon 63957;Główna,Szablony WordPress CMS,Rolnictwo;234;1;63957;-1;0;Niniejszy szablon oferuje następujące funkcje: ;szablon-63957;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/63900/63957-big.jpg;"Typ szablonu|Szablony WordPress CMS|1|1,Numer szablonu|63957|2|1,Strona przykładowa|<a href=""https://ld-wp73.template-help.com/wordpress/prod_7333/v2/""><b>Zobacz</b></a>|3|1,Autor|ZEMEZ|4|1"
8;1;Szablon 111680;Główna,Szablony WordPress CMS,Kulinarne;223;1;111680;-1;0;Niniejszy szablon oferuje następujące funkcje: Panel administracyjny, Ajax, Bootstrap, Licencja GPL (zdjęcia nie są dołączone), Lekki szablon, Wielozadaniowy, Responsywny, Przystosowany dla wysokich rozdzielczości (np. Retina), Przystosowany do wyszukiwarek, Pojedyńczy produkt, Członkowie zespołu, Rozwijane menu, Mapa Google, Przykładowa treść, Zakładki, Zaawansowane opcje szablonu, Technologia Drag and Drop, MegaMenu, Optymalizacja wydajności, Blog, HTML 5, JQuery, Parallax;szablon-111680;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/111600/111680-big.jpg;"Typ szablonu|Szablony WordPress CMS|1|1,Numer szablonu|111680|2|1,Strona przykładowa|<a href=""http://sigmadigitalpartners.com/themes/templatemonster/wp/cookly/""><b>Zobacz</b></a>|3|1,Autor|AndromedaThemes|4|1"
9;1;Szablon 77897;Główna,Szablony Joomla! CMS,Biznes;201;1;77897;-1;0;"Niniejszy szablon oferuje następujące funkcje: Panel administracyjny, Wielozadaniowy, Responsywny, Wspiera języki pisane od prawej do lewej, Członkowie zespołu;";szablon-77897;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/77800/77897-big.png;"Typ szablonu|Szablony Joomla! CMS|1|1,Numer szablonu|77897|2|1,Strona przykładowa|<a href=""https://www.clockfast.joomlastars.co.in/""><b>Zobacz</b></a>|3|1,Autor|joomlastars|4|1"
10;1;Szablon 55121;Główna,Szablony Drupal CMS,Programy;234;1;55121;-1;0;Niniejszy szablon oferuje następujące funkcje: ;szablon-55121;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/55100/55121-big.jpg;"Typ szablonu|Szablony Drupal CMS|1|1,Numer szablonu|55121|2|1,Strona przykładowa|<a href=""https://livedemo00.template-help.com/drupal_55121""><b>Zobacz</b></a>|3|1,Autor|WT|4|1"
11;1;Szablon 55201;Główna,Szablony Drupal CMS,Biznes;234;1;55201;-1;0;Niniejszy szablon oferuje następujące funkcje: ;szablon-55201;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/55200/55201-big.jpg;"Typ szablonu|Szablony Drupal CMS|1|1,Numer szablonu|55201|2|1,Strona przykładowa|<a href=""https://livedemo00.template-help.com/drupal_55201""><b>Zobacz</b></a>|3|1,Autor|WT|4|1"
