Products ID;Active;Name;Categories;Price;Tax rules ID;Reference;Quantity;Minimal quantity;Short description;URL rewritten;Product available date;Product creation date;Show price;Image URLs;Feature
401;1;Szablon 98972;Główna,Sklepy PrestaShop,Elektronika;431;1;98972;-1;0;"Niniejszy szablon oferuje następujące funkcje: Grid, List;";szablon-98972;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/98900/98972-big.jpg;"Typ szablonu|Sklepy PrestaShop|1|1,Numer szablonu|98972|2|1,Strona przykładowa|<a href=""https://ld-prestashop.template-help.com/prestashop_eze_252/index.php""><b>Zobacz</b></a>|3|1,Autor|ZEMEZ|4|1"
402;1;Szablon 98966;Główna,Sklepy PrestaShop,Moda;354;1;98966;-1;0;"Niniejszy szablon oferuje następujące funkcje: 1.7.6.x;";szablon-98966;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/98900/98966-big.png;"Typ szablonu|Sklepy PrestaShop|1|1,Numer szablonu|98966|2|1,Strona przykładowa|<a href=""https://pagebuilder.apollotheme.com/leo_qos_demo/""><b>Zobacz</b></a>|3|1,Autor|Leothemes|4|1"
403;1;Szablon 93317;Główna,Sklepy PrestaShop,Uroda i piękno;431;1;93317;-1;0;"Niniejszy szablon oferuje następujące funkcje: Grid, List;";szablon-93317;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/93300/93317-big.jpg;"Typ szablonu|Sklepy PrestaShop|1|1,Numer szablonu|93317|2|1,Strona przykładowa|<a href=""https://ld-prestashop.template-help.com/prestashop_eze_236/index.php""><b>Zobacz</b></a>|3|1,Autor|ZEMEZ|4|1"
404;1;Szablon 51404;Główna,Sklepy PrestaShop,Samochody;431;1;51404;-1;0;Niniejszy szablon oferuje następujące funkcje: ;szablon-51404;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/51400/51404-big.jpg;"Typ szablonu|Sklepy PrestaShop|1|1,Numer szablonu|51404|2|1,Strona przykładowa|<a href=""https://ld-prestashop.template-help.com/prestashop_21437/index.php?page""><b>Zobacz</b></a>|3|1,Autor|WT|4|1"
405;1;Szablon 94386;Główna,Sklepy PrestaShop,Kulinarne;431;1;94386;-1;0;"Niniejszy szablon oferuje następujące funkcje: Grid, List;";szablon-94386;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/94300/94386-big.jpg;"Typ szablonu|Sklepy PrestaShop|1|1,Numer szablonu|94386|2|1,Strona przykładowa|<a href=""https://ld-prestashop.template-help.com/prestashop_eze_254/index.php""><b>Zobacz</b></a>|3|1,Autor|ZEMEZ|4|1"
406;1;Szablon 99864;Główna,Sklepy PrestaShop,Komputery;369;1;99864;-1;0;"Niniejszy szablon oferuje następujące funkcje: 1.7.6.x;";szablon-99864;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/99800/99864-big.jpg;"Typ szablonu|Sklepy PrestaShop|1|1,Numer szablonu|99864|2|1,Strona przykładowa|<a href=""http://apollotran.com/demo/at_gstore/""><b>Zobacz</b></a>|3|1,Autor|Apollotran|4|1"
407;1;Szablon 99815;Główna,Sklepy PrestaShop,Kulinarne;300;1;99815;-1;0;"Niniejszy szablon oferuje następujące funkcje: Ajax, Bootstrap, Wielozadaniowy, Responsywny, Przystosowany dla wysokich rozdzielczości (np. Retina);";szablon-99815;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/99800/99815-big.jpg;"Typ szablonu|Sklepy PrestaShop|1|1,Numer szablonu|99815|2|1,Strona przykładowa|<a href=""http://templatetasarim.com/prestashop/Nature/en/""><b>Zobacz</b></a>|3|1,Autor|inspiretemplate|4|1"
408;1;Szablon 97503;Główna,Sklepy PrestaShop,Rozrywka;431;1;97503;-1;0;"Niniejszy szablon oferuje następujące funkcje: Grid, List;";szablon-97503;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/97500/97503-big.jpg;"Typ szablonu|Sklepy PrestaShop|1|1,Numer szablonu|97503|2|1,Strona przykładowa|<a href=""https://ld-prestashop.template-help.com/prestashop_eze_189/""><b>Zobacz</b></a>|3|1,Autor|ZEMEZ|4|1"
409;1;Szablon 101767;Główna,Sklepy PrestaShop,Uroda i piękno;300;1;101767;-1;0;"Niniejszy szablon oferuje następujące funkcje: Ajax, Bootstrap, Wielozadaniowy, premium, Responsywny, Wspiera języki pisane od prawej do lewej, Przystosowany do wyszukiwarek, Rozwijane menu, Pakiet quickstart, MegaMenu, HTML 5, jQuery;";szablon-101767;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/101700/101767-big.jpg;"Typ szablonu|Sklepy PrestaShop|1|1,Numer szablonu|101767|2|1,Strona przykładowa|<a href=""https://capricathemes.com/prestashop/PRS14/PRS140345/""><b>Zobacz</b></a>|3|1,Autor|codezeel|4|1"
410;1;Szablon 91269;Główna,Sklepy PrestaShop,Biznes;431;1;91269;-1;0;"Niniejszy szablon oferuje następujące funkcje: Grid, List;";szablon-91269;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/91200/91269-big.jpg;"Typ szablonu|Sklepy PrestaShop|1|1,Numer szablonu|91269|2|1,Strona przykładowa|<a href=""https://ld-prestashop.template-help.com/prestashop_26199/index.php""><b>Zobacz</b></a>|3|1,Autor|RockThemes|4|1"
411;1;Szablon 90626;Główna,Sklepy PrestaShop,Książki;431;1;90626;-1;0;"Niniejszy szablon oferuje następujące funkcje: Grid, List;";szablon-90626;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/90600/90626-big.jpg;"Typ szablonu|Sklepy PrestaShop|1|1,Numer szablonu|90626|2|1,Strona przykładowa|<a href=""https://ld-prestashop.template-help.com/prestashop_25955/index.php""><b>Zobacz</b></a>|3|1,Autor|RockThemes|4|1"
412;1;Szablon 51868;Główna,Sklepy PrestaShop,Moda;431;1;51868;-1;0;Niniejszy szablon oferuje następujące funkcje: ;szablon-51868;2020-12-01;2020-12-01;1;https://s.tmimgcdn.com/scr/51800/51868-big.jpg;"Typ szablonu|Sklepy PrestaShop|1|1,Numer szablonu|51868|2|1,Strona przykładowa|<a href=""https://ld-prestashop.template-help.com/prestashop_21250/index.php?page""><b>Zobacz</b></a>|3|1,Autor|RockThemes|4|1"
